EDAD,SEXO,CIVIL,ESCUELA,EDES,INGRESO,HIJOS,NOHIJOS,FCRA,FAMADIC,ADICCION,SERVICIOS,APOYO,CONDINSTA,PAGO
43,0,3,6,1,508,1,3,3,0,20,4,1,1,4
39,1,6,6,2,1288,1,3,4,0,20,4,1,1,3
41,1,3,7,2,1605,1,1,3,0,17,6,1,1,1
29,0,1,6,2,786,1,0,7,0,31,8,0,2,1
15,1,4,9,1,1314,0,0,5,1,33,4,1,1,1
22,0,1,7,2,0,0,0,2,0,19,6,0,2,3
43,0,2,6,1,0,1,1,4,0,13,5,1,1,4
25,0,3,6,2,1305,1,1,1,0,17,6,0,2,3
25,0,1,12,1,0,1,2,6,0,19,6,0,1,3
15,0,1,9,1,645,0,0,1,1,33,4,0,1,1
33,0,6,1,1,929,1,2,2,0,21,5,0,1,1
19,0,3,8,2,911,1,1,4,2,15,5,0,1,1
20,0,3,0,1,0,1,2,3,0,17,5,0,1,3
25,0,1,9,1,1215,0,0,4,0,12,6,0,1,1
18,0,1,7,2,0,1,1,5,0,35,6,1,1,3
23,0,1,9,2,948,1,0,13,2,37,7,1,2,4
20,0,1,7,2,1412,0,0,12,1,34,7,1,2,3
14,0,1,3,1,560,0,0,1,2,36,5,1,1,3
17,0,3,4,1,1325,1,1,9,2,49,4,1,1,1
30,0,1,1,1,964,0,0,10,2,44,10,0,2,3
14,0,1,7,1,777,0,0,1,0,8,5,2,2,1
19,0,3,6,1,1348,1,1,4,2,21,4,0,1,3
18,0,3,7,1,710,1,1,5,3,32,4,1,1,1
28,0,1,8,2,1483,1,0,6,2,50,4,0,1,3
20,0,1,9,1,1306,1,0,10,0,16,4,1,1,1
24,0,1,9,1,777,0,0,4,2,1,6,1,1,3
19,0,4,8,2,967,0,0,2,2,29,5,1,1,1
33,0,6,0,1,597,1,0,1,3,19,8,1,1,4
37,0,3,6,1,1224,1,0,2,0,12,8,0,2,3
27,0,3,9,2,1443,1,0,4,0,50,4,2,1,3
36,0,3,3,2,1227,1,5,6,2,32,4,2,1,1
23,0,3,9,2,791,1,1,1,3,8,5,1,1,2
17,0,4,0,1,1296,0,0,2,3,23,8,2,2,4
25,0,5,12,1,1566,1,2,5,1,26,8,0,2,1
21,0,1,6,2,1661,1,2,4,2,19,5,1,1,1
16,1,1,8,1,0,0,0,3,0,6,6,0,1,4
35,1,6,1,1,889,1,5,14,2,12,8,0,2,3
21,1,1,3,2,1461,1,1,5,0,14,6,1,2,3
36,1,1,4,2,0,1,2,15,0,2,4,1,1,1
16,1,1,4,1,1717,0,0,1,4,18,7,1,2,2
13,1,1,8,1,1230,0,0,4,1,11,7,1,2,2
14,1,4,4,1,0,0,0,2,3,31,7,1,2,1
18,1,1,6,1,0,0,0,1,0,1,8,0,#N/D,2
33,1,1,3,1,1579,0,0,1,1,28,4,0,1,1
32,1,1,8,1,1449,0,0,1,0,6,8,0,2,3
50,1,7,7,2,1397,1,2,3,0,1,4,0,1,1
20,1,4,10,1,1469,0,0,1,0,1,6,1,2,1
32,1,4,12,2,1577,0,0,2,2,23,6,2,2,1
18,1,1,1,2,1498,1,1,4,4,34,4,0,1,1
25,1,1,12,1,0,0,0,7,1,24,7,1,2,3
28,1,1,8,1,1386,1,2,16,2,29,4,4,1,1
22,1,4,7,1,1588,1,1,3,3,10,8,0,2,3
40,1,1,6,1,1504,1,4,1,0,1,5,1,1,3
37,1,6,9,1,1281,1,0,1,2,25,6,1,2,2
36,1,7,2,2,1235,1,2,2,1,28,5,1,1,1
35,1,7,11,1,1644,1,3,1,0,1,7,2,2,3
33,1,1,9,1,0,0,0,5,3,1,4,1,1,1
22,1,1,12,1,1256,1,0,1,3,1,4,0,1,1
20,1,4,0,1,1616,1,1,4,4,1,4,1,1,1
23,1,6,9,1,1628,1,6,4,0,1,4,1,1,1
33,1,1,6,1,1658,1,2,8,0,32,5,1,1,3
30,1,1,18,1,1500,1,4,17,3,37,6,1,1,1
29,1,1,12,1,783,1,1,3,3,32,9,4,2,1
33,1,4,6,1,1627,1,4,1,0,1,4,1,1,1
34,1,7,15,1,706,1,3,3,4,18,6,1,1,1
46,1,6,11,1,1783,1,3,13,3,23,6,1,1,1
29,1,1,8,2,1341,1,1,5,4,49,4,0,1,1
26,1,1,5,1,1236,1,0,3,4,1,4,2,1,1
30,1,1,9,1,1483,1,1,1,4,1,4,0,1,1
36,1,1,10,1,1773,0,0,2,1,36,5,1,1,1
